category,manufacturer,modelname,serialnumber,ondate,inventory,operatorcode,project,ownercode,propertytag,epochnotes,isinstalled,netcode,lookupcode,monname,installdate
BATTERY,UNKNOWN,UNKNOWN,M52A1-2013-01,2013-01-19 (019) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,M52A,"Chesterland, OH, USA",2013-01-19 (019) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,M52A2-2013-01,2013-01-19 (019) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,M52A,"Chesterland, OH, USA",2013-01-19 (019) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,Q54A1-2013-01,2013-01-28 (028) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,Q54A,"Coxs Mills, WV, USA",2013-01-28 (028) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,Q54A2-2013-01,2013-01-28 (028) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,Q54A,"Coxs Mills, WV, USA",2013-01-28 (028) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,Q54A3-2013-01,2013-01-28 (028) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,Q54A,"Coxs Mills, WV, USA",2013-01-28 (028) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,N51A1-2013-02,2013-02-22 (053) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,N51A,"Ashland, OH, USA",2013-02-22 (053) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,N51A2-2013-02,2013-02-22 (053) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,N51A,"Ashland, OH, USA",2013-02-22 (053) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,N51A3-2013-02,2013-02-22 (053) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,N51A,"Ashland, OH, USA",2013-02-22 (053) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,P40B1-2013-03,2013-03-19 (078) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,P40B,"Paris, MO, USA",2013-03-19 (078) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,P40B2-2013-03,2013-03-19 (078) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,P40B,"Paris, MO, USA",2013-03-19 (078) 00:00:00
